Parallel readers rate:,90.0%
writers | readers,5,10,50,1000,10000,100000
5,0.002,0.002,0.006,0.07,0.491,3.719
10,0.008,0.003,0.007,0.063,0.505,3.628
50,0.002,0.003,0.003,0.051,0.368,3.637
1000,0.036,0.036,0.037,0.073,0.403,3.809
10000,0.365,0.363,0.369,0.401,0.727,4.091
100000,3.642,3.661,3.788,3.721,4.039,7.478
Parallel readers rate:,60.0%
writers | readers,5,10,50,1000,10000,100000
5,0.0,0.001,0.002,0.036,0.369,3.764
10,0.0,0.001,0.002,0.038,0.366,3.696
50,0.002,0.002,0.004,0.039,0.369,3.783
1000,0.041,0.044,0.044,0.089,0.407,3.728
10000,0.442,0.368,0.37,0.401,0.731,4.062
100000,3.786,3.698,3.72,3.984,4.284,7.485
Parallel readers rate:,30.0%
writers | readers,5,10,50,1000,10000,100000
5,0.001,0.0,0.003,0.037,0.369,3.756
10,0.001,0.001,0.002,0.037,0.37,3.694
50,0.002,0.002,0.004,0.037,0.375,3.685
1000,0.038,0.039,0.038,0.072,0.413,3.904
10000,0.378,0.377,0.375,0.419,0.76,4.228
100000,3.885,3.796,3.797,3.832,4.2,7.748
Waking up all readers:,false
100 highest value
28
5
4
4
4
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
